model,display_name,initial_capital,final_value,total_return,max_drawdown,sharpe_like,n_trading_days,n_trades,win_rate,average_trade_return,average_daily_gross_exposure,long_trades,short_trades,long_win_rate,short_win_rate
deep_text_price,Deep text + price,1000000.0,1273320.032883575,0.273320032883575,-0.0027347423566681517,5.44419435014222,237,271,0.6383763837638377,0.024367728150231697,0.01929330227129295,164,107,0.6341463414634146,0.6448598130841121
classical_text_price,Classical text + price,1000000.0,1065389.2918784616,0.06538929187846154,-0.004552139432928759,3.911752261497824,237,301,0.5880398671096345,0.012685587040547048,0.013604718981813178,169,132,0.621301775147929,0.5454545454545454
technical_analysis_baseline,TA baseline,1000000.0,1051962.4713663964,0.05196247136639642,-0.03401528913363405,0.8611775398410978,237,279,0.5268817204301075,0.0037731185820923433,0.058860759493670915,194,85,0.5463917525773195,0.4823529411764706
classical_price_only,Classical price-only,1000000.0,1034991.4696551902,0.03499146965519029,-0.004409070315230079,2.150145336801338,237,358,0.5223463687150838,0.005179045106562055,0.010982598691222811,190,168,0.5526315789473685,0.4880952380952381
classical_text_only,Classical text-only,1000000.0,1011345.3184635189,0.011345318463518828,-0.0037537220471293153,1.566904236558966,237,290,0.5413793103448276,0.003204135572716296,0.00962282645229766,145,145,0.5793103448275863,0.503448275862069
deep_text_only,Deep text-only,1000000.0,1001131.4747380421,0.0011314747380422041,-0.0011325533501865825,1.2087720272489686,237,332,0.5542168674698795,0.003742013448099293,0.0013679888331689426,265,67,0.5584905660377358,0.5373134328358209
