model,feature_set,split,accuracy,macro_f1,weighted_f1,n_rows
deep_text_price,text_price,test,0.6519114688128773,0.6238599528488482,0.6530475364401774,994
classical_price_only,price_only,test,0.4969818913480885,0.4637200908208287,0.5107177508590908,994
classical_text_price,text_price,test,0.5040241448692153,0.45702213577683826,0.5116484168898682,994
technical_analysis_baseline,price_rule,test,0.47585513078470826,0.41173684695029483,0.4749124765014745,994
classical_text_only,text_only,test,0.4164989939637827,0.3653016754163991,0.42416872065099986,994
deep_text_only,text_only,test,0.3853118712273642,0.3280324647560547,0.3857337535490058,994
