model,display_name,accuracy,macro_f1,weighted_f1
deep_text_price,Deep text + price,0.6519114688128773,0.6238599528488482,0.6530475364401774
classical_price_only,Classical price-only,0.4969818913480885,0.4637200908208287,0.5107177508590908
classical_text_price,Classical text + price,0.5040241448692153,0.45702213577683826,0.5116484168898682
technical_analysis_baseline,TA baseline,0.47585513078470826,0.41173684695029483,0.4749124765014745
classical_text_only,Classical text-only,0.4164989939637827,0.3653016754163991,0.42416872065099986
deep_text_only,Deep text-only,0.3853118712273642,0.3280324647560547,0.3857337535490058
